@relation flowClassify

@attribute srcIp numeric
@attribute dstIp numeric
@attribute srcPort numeric
@attribute dstPort numeric
@attribute protocol numeric
@attribute serverOrClient numeric
@attribute packetSize numeric
@attribute class {Elephant, Mouse}

@data

% instances: 7168

481461498,1084218853,9,1025,6,1,502,Mouse
425921382,1084218848,9,666,6,2,120,Mouse
479933265,1084218802,3,3,17,0,144,Mouse
3682335700,1084218872,9,360,6,2,214,Mouse
1844015075,1084218848,74,850,17,0,348,Mouse
1844015077,1084218848,74,900,17,0,348,Mouse
1844015084,1084218636,74,167,17,0,116,Mouse
44401810,1084218844,9,373,6,2,4380,Mouse
3682335700,1084218872,9,359,6,2,2252,Mouse
44401810,1084218844,9,375,6,2,4380,Mouse
1150616096,1084218866,616,1375,6,1,1460,Mouse
1150616096,1084218866,616,1376,6,1,3,Mouse
31233500,1084218846,9,315,6,2,367,Mouse
31233500,1084218846,9,314,6,2,4140,Mouse
1526155190,1084218801,252,479,6,2,14,Mouse
1526155190,1084218801,252,478,6,2,14,Mouse
1526155190,1084218801,252,483,6,2,14,Mouse
1526155190,1084218801,252,482,6,2,14,Mouse
1844015088,1084218643,74,193,17,0,116,Mouse
1526155190,1084218801,252,481,6,2,14,Mouse
481461498,1084218853,9,1003,6,2,507,Mouse
1526155190,1084218801,252,480,6,2,14,Mouse
481461498,1084218853,9,1002,6,2,341,Mouse
44401810,1084218844,9,365,6,2,4380,Mouse
405619383,1084218669,9,285,17,0,113,Mouse
1332158494,1084218758,9,2118,6,1,1956,Mouse
1118897121,1084218786,9,838,6,2,2920,Mouse
481461498,1084218853,9,1019,6,2,341,Mouse
1084218640,1084169425,8,8,17,0,581,Mouse
3680936824,1084218758,9,462,6,2,3068,Mouse
1712258276,1084218760,9,315,6,2,2920,Mouse
1150344045,1844015049,854,7,17,0,114,Mouse
1844015043,1844015023,74,73,17,0,348,Mouse
1844015098,1084218634,74,129,17,0,348,Mouse
1150616096,1084218866,616,1351,6,1,4371,Mouse
1179154846,1084218628,3,230,6,2,313,Mouse
1844015092,1084218848,74,344,17,0,348,Mouse
2542925603,1084218813,3,1011,6,2,310,Mouse
73742470,1084218644,9,1972,6,1,4142,Mouse
73742470,1084218644,9,1971,6,1,3952,Mouse
73742470,1084218644,9,1970,6,1,2920,Mouse
43403288,1084218844,9,372,6,2,4380,Mouse
3069832471,1084218634,68,272,6,2,47,Mouse
1150322543,1084218843,9,468,6,2,3569,Mouse
1844015103,1084218872,74,126,17,0,232,Mouse
289027877,1084218824,9,87,17,0,483,Mouse
1084220398,1084218768,9,86,17,0,197,Mouse
1150344045,1844015054,518,7,17,0,114,Mouse
73742470,1084218644,9,1969,6,1,4380,Mouse
3638371232,1084218654,9,459,6,2,962,Mouse
1085009125,1084218771,17,17,17,0,186,Mouse
16964175,1084218644,3,108,6,2,311,Mouse
1844015088,1084218657,74,430,17,0,116,Mouse
2484426131,1084218631,9,1149,6,1,262,Mouse
1150323776,1844015049,626,7,17,0,949,Mouse
1084220398,1084218762,9,1001,17,0,179,Mouse
1150333297,1150304176,84,85,6,2,264,Mouse
1150344045,1844015055,516,7,17,0,120,Mouse
43403288,1084218844,9,359,6,2,4380,Mouse
1843964742,1084218776,74,372,17,0,232,Mouse
31233500,1084218846,9,353,6,2,4140,Mouse
1076640564,1084218633,3,3,17,0,144,Mouse
1084220398,1084218773,9,263,17,0,132,Mouse
1084220398,1084218768,9,93,17,0,132,Mouse
1118897121,1084218786,9,893,6,2,1702,Mouse
1082336686,1084218765,3,173,6,2,1617,Mouse
1844015072,1084218643,74,193,17,0,116,Mouse
1844014989,1084218625,74,485,17,0,116,Mouse
1118897121,1084218786,9,899,6,2,1486,Mouse
1332158494,1084218758,9,2156,6,1,2966,Mouse
276693121,1084218850,9,514,17,0,99,Mouse
1118897121,1084218786,9,896,6,2,2323,Mouse
1084220398,1084218879,9,122,17,0,185,Mouse
1844014884,1084218848,74,690,17,0,348,Mouse
2484426131,1084218631,9,1160,6,1,1536,Mouse
2484426131,1084218631,9,1163,6,1,261,Mouse
1762140748,1084218827,9,393,6,2,242,Mouse
471444014,1084218814,9,89,6,2,4102,Mouse
2484426131,1084218631,9,1164,6,1,136,Mouse
2484426131,1084218631,9,1165,6,1,261,Mouse
1118897121,1084218786,9,880,6,2,1666,Mouse
1150344045,1844015054,292,7,17,0,114,Mouse
1762140776,1084218872,431,226,17,0,148,Mouse
1844014884,1084218625,74,667,17,0,116,Mouse
1150344045,1844015055,290,7,17,0,114,Mouse
1150322468,1084218853,9,535,17,0,87,Mouse
3682335700,1084218872,9,339,6,2,214,Mouse
1150322468,1084218853,9,531,17,0,266,Mouse
1150322468,1084218853,9,532,17,0,180,Mouse
1843964742,1084218848,74,634,17,0,348,Mouse
1150616096,1084218866,616,1397,6,1,3,Mouse
1118897121,1084218786,9,883,6,2,1718,Mouse
1150616096,1084218866,616,1396,6,1,2949,Mouse
1150344045,1844015049,858,7,17,0,120,Mouse
1118897121,1084218786,9,885,6,2,2323,Mouse
1844015041,1084218876,74,124,17,0,116,Mouse
284444747,1084218816,9,776,6,2,1460,Mouse
276737012,1084218860,9,472,6,2,584,Mouse
1084220398,1084218755,9,263,17,0,78,Mouse
1084220398,1084218630,9,186,17,0,118,Mouse
151703685,1084218654,9,522,6,2,2920,Mouse
151703685,1084218654,9,523,6,2,4380,Mouse
167148416,1084218820,9,945,6,2,3137,Mouse
1150344045,1844015055,142,7,17,0,114,Mouse
1712258276,1084218760,9,245,6,2,3330,Mouse
425921382,1084218846,9,379,6,2,1332,Mouse
425921382,1084218846,9,378,6,2,205,Mouse
1844014938,1118943492,74,522,17,0,116,Mouse
284444747,1084218816,9,767,6,2,601,Mouse
1084218648,808344774,26,25,17,0,939,Mouse
301216447,1084218824,9,777,6,2,3149,Mouse
151703685,1084218654,9,519,6,2,4380,Mouse
301216447,1084218824,9,778,6,2,3149,Mouse
1150322468,1084218779,9,108,17,0,117,Mouse
301216447,1084218824,9,779,6,2,166,Mouse
1844015085,1084218848,74,344,17,0,348,Mouse
283525965,1084218801,9,547,6,2,4080,Mouse
1150344045,1844015053,52,7,17,0,114,Mouse
1844015075,1084218848,74,690,17,0,116,Mouse
1844015073,1084218848,74,766,17,0,232,Mouse
1844015046,1084218773,74,128,17,0,116,Mouse
1119401885,1084218628,2028,542,6,2,4344,Mouse
1084220398,1084218848,9,692,17,0,250,Mouse
281689304,1084218805,9,121,6,2,4344,Mouse
1150344045,1844015054,513,7,17,0,120,Mouse
1084220398,1084218848,9,691,17,0,179,Mouse
1150344045,1844015055,277,7,17,0,120,Mouse
1084220398,1084218630,9,161,17,0,275,Mouse
151703685,1084218654,9,502,6,2,2920,Mouse
1084220398,1084218755,9,248,17,0,273,Mouse
151703685,1084218654,9,505,6,2,4380,Mouse
1084220398,1084218755,9,247,17,0,66,Mouse
151703685,1084218654,9,506,6,2,2920,Mouse
1844015047,1084218625,74,667,17,0,116,Mouse
403717732,1084218786,9,1359,6,1,260,Mouse
151703685,1084218654,9,507,6,2,4380,Mouse
